theme_name,record_count,pm_priority_score,prevalence,severity,metric_proximity,cross_source_consistency,addressability,journey_stages
Friction: Delivery,704,0.5375719569345749,0.5313207547169811,1.0,0.026988636363636364,0.7142857142857143,0.5,"[""wishlist_add"", ""return_exchange"", ""pdp"", ""checkout"", ""unknown"", ""delivery"", ""payment"", ""order""]"
Friction: Other,250,0.5006037735849057,0.18867924528301888,1.0,0.176,1.0,0.5,"[""wishlist_add"", ""return_exchange"", ""pdp"", ""checkout"", ""unknown"", ""delivery"", ""payment"", ""order"", ""comparison"", ""add_to_bag"", ""browse""]"
Friction: Out Of Stock,90,0.49609164420485186,0.06792452830188679,0.9,0.5,0.8571428571428571,0.4,"[""return_exchange"", ""pdp"", ""checkout"", ""unknown"", ""delivery"", ""order"", ""comparison"", ""add_to_bag"", ""wishlist_revisit"", ""browse""]"
Friction: Returns,440,0.4801421220289145,0.3320754716981132,1.0,0.03636363636363636,0.7142857142857143,0.5,"[""return_exchange"", ""pdp"", ""checkout"", ""unknown"", ""delivery"", ""order"", ""browse""]"
Friction: Quality,201,0.4293758163361092,0.15169811320754717,1.0,0.04975124378109453,0.7142857142857143,0.5,"[""return_exchange"", ""pdp"", ""checkout"", ""unknown"", ""delivery"", ""order"", ""browse""]"
Friction: Price Value Uncertainty,71,0.38562778558141303,0.05358490566037736,0.71,0.22535211267605634,0.8571428571428571,0.5,"[""wishlist_add"", ""return_exchange"", ""pdp"", ""checkout"", ""unknown"", ""delivery"", ""payment"", ""comparison"", ""order"", ""add_to_bag"", ""browse""]"
Friction: Fit,80,0.3664167789757412,0.06037735849056604,0.8,0.1875,0.7142857142857143,0.3,"[""return_exchange"", ""pdp"", ""checkout"", ""unknown"", ""delivery"", ""order""]"
Friction: Checkout,54,0.36548038334830785,0.040754716981132075,0.54,0.4444444444444444,0.5714285714285714,0.5,"[""wishlist_add"", ""return_exchange"", ""checkout"", ""unknown"", ""delivery"", ""payment"", ""order"", ""add_to_bag""]"
Friction: Size Chart,12,0.32569317160826594,0.009056603773584906,0.12,0.5833333333333334,0.5714285714285714,0.9,"[""return_exchange"", ""unknown"", ""pdp"", ""delivery""]"
Friction: Authenticity,66,0.3127356040186229,0.04981132075471698,0.66,0.045454545454545456,0.7142857142857143,0.5,"[""return_exchange"", ""pdp"", ""checkout"", ""unknown"", ""delivery"", ""order""]"
Friction: Payment,47,0.2848284395251477,0.03547169811320755,0.47,0.2553191489361702,0.42857142857142855,0.5,"[""return_exchange"", ""checkout"", ""unknown"", ""delivery"", ""payment"", ""order""]"
Friction: Reviews Info Gaps,17,0.22374401458696686,0.012830188679245283,0.17,0.23529411764705882,0.2857142857142857,0.9,"[""return_exchange"", ""pdp"", ""checkout"", ""unknown"", ""delivery"", ""order""]"
Friction: Clutter,10,0.21440700808625338,0.007547169811320755,0.1,0.2,0.5714285714285714,0.8,"[""wishlist_add"", ""unknown"", ""pdp"", ""wishlist_revisit""]"
Friction: Bookmarking Only,5,0.156489218328841,0.0037735849056603774,0.05,0.2,0.42857142857142855,0.5,"[""wishlist_add"", ""checkout"", ""unknown""]"
Friction: Rediscovery,6,0.15088230008984727,0.004528301886792453,0.06,0.16666666666666666,0.42857142857142855,0.5,"[""wishlist_add"", ""wishlist_revisit"", ""pdp""]"
Friction: Comparison Difficulty,3,0.10675067385444743,0.0022641509433962265,0.03,0.0,0.2857142857142857,0.7,"[""wishlist_add"", ""unknown"", ""comparison""]"
Friction: Notification Fatigue,8,0.08609703504043127,0.0060377358490566035,0.08,0.0,0.14285714285714285,0.5,"[""delivery"", ""order"", ""return_exchange""]"
Friction: Price Value Uncernow,1,0.06701212938005391,0.0007547169811320754,0.01,0.0,0.14285714285714285,0.5,"[""wishlist_add""]"
